Period,Team,Player,Type,X,Y,Time,Strength,msu_score,opp_score
2,BC,,Shot,62.16,-37.26,12:05,EVEN,3,3
2,BC,,Miss,43.96,5.34,11:14,EVEN,3,3
2,MSU,,Shot,-79.24,-28.46,10:59,EVEN,3,3
2,BC,,Miss,66.56,2.74,10:42,EVEN,3,3
2,BC,,Shot,80.56,7.54,10:06,EVEN,3,3
2,MSU,,Shot,-60.24,-15.86,9:51,EVEN,3,3
2,MSU,,Shot,-49.84,-32.06,8:55,EVEN,3,3
2,MSU,,Miss,-78.64,-4.26,8:44,EVEN,3,3
2,BC,,Block,59.56,-12.46,8:22,EVEN,3,3
2,MSU,,Block,-60.04,-11.66,7:42,EVEN,3,3
2,MSU,,Shot,-63.44,-20.46,7:28,EVEN,3,3
2,BC,,Block,53.96,-4.06,7:06,EVEN,3,3
2,MSU,,Goal,-81.84,-5.26,6:35,EVEN,3,3
2,BC,,Miss,38.16,25.94,6:15,EVEN,4,3
2,BC,,Miss,47.56,-11.66,5:50,EVEN,4,3
2,BC,,Miss,78.96,13.74,5:46,EVEN,4,3
2,MSU,,Shot,-71.24,-19.66,5:39,EVEN,4,3
2,MSU,,Shot,-38.04,-11.06,5:36,EVEN,4,3
2,BC,,Miss,65.96,-10.86,4:52,EVEN,4,3
2,MSU,,Block,-64.64,-10.86,4:33,EVEN,4,3
2,MSU,,Shot,-85.84,-6.86,4:29,EVEN,4,3
2,MSU,,Miss,-37.84,27.54,3:56,EVEN,4,3
2,MSU,,Miss,-25.44,33.34,3:48,EVEN,4,3
2,MSU,,Block,-65.64,-36.26,3:39,EVEN,4,3
2,BC,,Shot,76.56,12.34,1:56,EVEN,4,3
2,BC,,Shot,81.36,18.74,1:42,EVEN,4,3
2,BC,,Block,62.96,6.54,0:52,EVEN,4,3
2,BC,,Block,50.56,-13.06,0:32,EVEN,4,3
3,BC,,Shot,-73.24,0.94,19:17,EVEN,4,3
3,BC,,Miss,-72.04,-6.86,18:54,EVEN,4,3
3,MSU,,Block,70.76,-35.66,17:47,EVEN,4,3
3,MSU,,Miss,34.16,21.94,17:36,EVEN,4,3
3,BC,,Shot,-61.64,-33.46,16:47,EVEN,4,3
3,MSU,,Miss,75.76,-2.06,15:46,EVEN,4,3
3,MSU,,Block,48.56,30.14,15:23,EVEN,4,3
3,MSU,,Miss,46.16,-25.66,15:15,EVEN,4,3
3,MSU,,Block,35.56,27.74,15:11,EVEN,4,3
3,BC,,Shot,-74.44,-15.06,14:59,EVEN,4,3
3,BC,,Shot,-75.44,4.74,13:40,EVEN,4,3
3,BC,,Shot,-87.64,8.74,13:38,EVEN,4,3
3,BC,,Shot,-57.64,13.14,13:32,EVEN,4,3
3,BC,,Block,-53.64,-18.46,13:08,EVEN,4,3
3,MSU,,Miss,62.76,2.54,12:58,EVEN,4,3
3,MSU,,Shot,61.16,-18.06,12:24,EVEN,4,3
3,BC,,Block,-62.24,-13.46,11:35,EVEN,4,3
3,BC,,Shot,-33.84,-11.86,11:27,EVEN,4,3
3,MSU,,Shot,86.56,11.54,10:40,EVEN,4,3
3,MSU,,Miss,30.76,-35.06,10:29,EVEN,4,3
3,BC,,Miss,-82.64,6.54,10:02,EVEN,4,3
